,Year,cls,UMC
10,1739,MS,Formation of Methodist Societies in and around London.
27,1773,MEC,First conference of American Methodist preachers. George Shadford and Thomas Rankin sail for America.
32,0,Foundation,ORGANIZATION OF THE METHODIST EPISCOPAL CHURCH
34,1787,Formation,"Formation of black congregations.  Cokesbury College opens in Abingdon, Maryland.  Wesley writes to Asbury deploring the genocide of Native Americans."
43,1800,Foundation,OTTERBEIN AND BOEHM FOUND THE CHURCH OF THE UNITED BRETHREN IN CHRIST (a.k.a UNITED BRETHREN CHURCH)  EVANGELICAL ASSOCIATION FOUNDED  Methodist Episcopal Church General Conference issues a pastoral letter on abolishing slavery and allows bishops to ordain African Americans as deacons.
46,1803,Foundation,"First conference of the Evangelical Association meets and ""ordains"" Albright."
47,1807,Foundation,EVANGELICAL ASSOCIATION ORGANIZED  Albright elected bishop.
54,1815,Foundation,First General Conference of United Brethren Church in Christ - Discipline and Confession of Faith adopted.  John Stewart begins his work with the Wyandotts.
55,1816,Foundation,AFRICAN METHODIST EPISCOPAL CHURCH ORGANIZED  Francis Asbury dies.  First General Conference adopts the name Evangelical Association.
58,1819,Foundation,Formation of Methodist Missionary Society - mission to Wyandott Indians in Ohio officially established.
59,1820,Ordination,Reformers debate roles of bishops and laity in the Methodist Episcopal Church.  Methodists in Alabama form missionary society to work with the Chickasaws and Choctaws.
60,1821,Foundation,AFRICAN METHODIST EPISCOPAL CHURCH ORGANIZED  William Capers founds Asbury Mission to the Lower Creek Tribes.
61,1823,Foundation,"Zion's Herald begins publication, first Methodist weekly newspaper."
62,1828,Foundation,"""Reformers"" exit to form the associated Methodist Churches."
71,1838,Foundation,Evangelical Association missionary society founded.
73,1840,Foundation,"Newbury Bible Institute (Vermont) is founded, the first American Methodist seminary, forerunner of Boston University School of Theology.  COLORED METHODIST PROTESTANT CHURCH ORGANIZED"
76,1844,Foundation,Methodists North and South split over twin issues of slavery and episcopacy.  Indian Mission to the Oklahoma Territory organized.  The New York Ladies' Home Missionary Society is organized.
77,1845,Foundation,"METHODIOST EPISCOPAL CHURCH, SOUTH, ORGANIZED  Indian Mission Conference organized by the newly formed MECS."
78,1846,Foundation,Baltimore Colored Mission Conference organized by the Methodist Protestant Church.
84,1852,Sexuality-Women,"Earliest call yet discovered for deaconess as an order in the Methodist Episcopal Church in the Zion's Herald, March 17, 1852 issue."
103,1870,Foundation,COLORED METHODIST EPISCOPAL CHURCH ORGANIZED (Name changed to CHRISTIAN METHODIST EPISCOPAL CHURCH in 1952)  Mission House for for Chinese opens in San Francisco.
109,1876,Sexuality-Women,Anna Oliver is the first woman to receive a degree from Boston School of Theology.  Methodist Episcopal Church votes at General Conference to divide annual conferences along racial lines.
111,1878,Foundation,"Women's Foreign Missionary Society of The Methodist Episcopal Church, South, is recognized."
112,1879,Foundation,Woman's Foreign Missionary Society of the Methodist Protestant Church is recognized.
